n,claim_key,claim,tested_as,title,abstract,citations,YOUR_relevance,YOUR_stance,YOUR_stated_position,stated_position_evidence,YOUR_notes,labelled_by,--,model_stance,model_confidence,model_finding,model_direction,model_study_type,stratum,paperId
29,coviewing_benefit,Adult co-viewing reduces the negative effects of screen time,Adult co-viewing reduces the negative effects of screen time,Weekend screen use of parents and children associates with child language skills,"Introduction The study examined the relationship between screen time and types of screen activities engaged in by children, mothers, and fathers on weekends, and its association with mother-reported vocabulary and grammatical skills of children aged 2;5 to 4;0. Methods Mothers reported the language skills of 421 children (M age = 38.18 months; SD = 5.73) by the Estonian CDI-III, and the screen use of children, mothers, and fathers by the Screen Time Inventory. We applied Latent Class Analysis (LCA) to analyze the screen time of children, mothers, and fathers, aiming to identify common family screen use profiles. Results The results showed that higher total screen time of children was linked to poorer vocabulary and grammatical skills. None of the screen-based activities that children, mothers, and fathers engaged in, including co-viewing of screens and socializing time, were found to positively relate to language skills. Playing video games was negatively associated with children's language skills, regardless of whether it was the child, mother, or father gaming. LCA identified 3 distinct family screen use profiles (low, moderate, and high users) which differed by parental education, screen-based activities, and children's language skills. Discussion The findings underscore the significance of family-based interventions when addressing screen time within the context of child language development.",9,direct,refutes,none,,Explicitly examined co-viewing and found no positive relation to language skills in a decently powered sample (n=421); a null benefit disagrees with a claim asserting a protective effect.,fable,,refutes,85,Higher total screen time of children was linked to poorer vocabulary and grammatical skills,disagrees,cross-sectional,refutes,W4402498924
30,vitamin_k_birth,Vitamin K at birth prevents haemorrhagic disease of the newborn,Vitamin K at birth prevents haemorrhagic disease of the newborn,Late Haemorrhagic Disease of Newborn: Can It be Prevented by Changing Prophylaxis Policy?,"Background: Vitamin K deficiency can cause severe haemorrhage in the newborn and is an important cause of infant morbidity and mortality. HDN can be classified according to the time of presentation after birth into early (0–24 hours), classical (1–14 days) and late (2–12 weeks) HDN. Late HDN, which presents after the first week of life, mainly manifests as intracranial haemorrhage, depending upon the site and amount of bleeding, it either results in mortality or life long sequelae in the form of cerebral palsy and scar epilepsy with or without cognitive impairment. Objective: To determine the frequency of ICH about vitamin K deficiency and outcome in infants aged 2 to 24 weeks. Materials and Methods: From 1 September 2017 to 30 September 2019 we retrieved the retrospective data of 8 patients with late HDN admitted to Bapuji Child Health Institute and Chigateri Government General Hospital, Davangere. Results: Six of eight cases with late HDN had an intracranial haemorrhage, of whom 5 patients died (62%), one ended up with neurological sequelae (12%) and 2 cases had an extracranial bleed. Out of these 8 cases, 5 had not received vitamin K at birth. Conclusion: For neonates on strict breastfeeding, despite some with vitamin K prophylaxis, some patients still may suffer from intracranial and extracranial bleeding due to late HDN. Therefore, a change in strategy in the form of making the paediatricians and Anganwadi workers working in subcenters to give vitamin K, who have been vaccinating the babies after birth, would increase the vitamin K coverage.",3,direct,mixed,endorses,Late Haemorrhagic Disease of Newborn: Can It be Prevented by Changing Prophylaxis Policy?,"Case series pointing both ways: 5 of 8 late HDN cases had NOT received vitamin K (absence of exposure with disease supports prevention), but 3 bled despite prophylaxis; paper advocates expanding coverage.",fable,,supports,80,"Late haemorrhagic disease of newborn can occur even in neonates who received vitamin K prophylaxis, but not receiving it at birth increases the risk",agrees,case-control,complement,W2999070894
31,peanut_intro_delay_risk,Delaying peanut introduction beyond 12 months increases the risk of peanut allergy,Delaying peanut introduction beyond 12 months increases the risk of peanut allergy,Enquiring About Tolerance (EAT) study: Feasibility of an early allergenic food introduction regimen,"BACKGROUND: The influence of early exposure to allergenic foods on the subsequent development of food allergy remains uncertain. OBJECTIVE: We sought to determine the feasibility of the early introduction of multiple allergenic foods to exclusively breast-fed infants from 3 months of age and the effect on breastfeeding performance. METHODS: We performed a randomized controlled trial. The early introduction group (EIG) continued breastfeeding with sequential introduction of 6 allergenic foods: cow's milk, peanut, hard-boiled hen's egg, sesame, whitefish (cod), and wheat; the standard introduction group followed the UK infant feeding recommendations of exclusive breastfeeding for around 6 months with no introduction of allergenic foods before 6 months of age. RESULTS: One thousand three hundred three infants were enrolled. By 5 months of age, the median frequency of consumption of all 6 foods was 2 to 3 times per week for every food in the EIG and no consumption for every food in the standard introduction group (P < .001 for every comparison). By 6 months of age, nonintroduction of the allergenic foods in the EIG was less than 5% for each of the 6 foods. Achievement of the stringent per-protocol consumption target for the EIG proved more difficult (42% of evaluable EIG participants). Breastfeeding rates in both groups significantly exceeded UK government data for equivalent mothers (P < .001 at 6 and at 9 months of age). CONCLUSION: Early introduction, before 6 months of age, of at least some amount of multiple allergenic foods appears achievable and did not affect breastfeeding. This has important implications for the evaluation of food allergy prevention strategies.",214,framework,does not test,none,,"EAT feasibility paper: reports regimen adherence and breastfeeding, no allergy outcomes; supplies the method (early-introduction regimen) used by the trial that tests the claim.",fable,,refutes,90,Early introduction of multiple allergenic foods before 6 months of age did not affect breastfeeding,disagrees,rct,refutes,W2287797495
32,outdoor_time_myopia,More outdoor time in early childhood reduces the risk of myopia,More outdoor time in early childhood reduces the risk of myopia,Combined and interaction effects of outdoor and reading time on myopia onset: evidence from over 210 000 schoolchildren in China,"Background: While numerous studies have examined the individual effects of outdoor and reading time on myopia, the interaction between these factors in large populations remains underexplored. We hypothesised that increased outdoor exposure may mitigate the risk of myopia associated with prolonged reading. Methods: We included 219 802 initially non-myopic primary school students in the Tianjin Child and Adolescent Research of Eye study. We collected the behaviour exposure data via a questionnaire. We used Cox proportional hazard models, with semesters since entrance as the time scale, to assess the associations of outdoor and reading time with the onset of myopia. We evaluated interaction effects on the additive scale using a generalised propensity score-weighted Cox model, and quantified them by excess relative risk due to interaction (RERI), attributable proportion (AP), and synergy index (SI). Additionally, we conducted subgroup analyses to assess the robustness and consistency of the results. Results: Among the 219 802 children, 130 246 developed myopia, resulting in a cumulative incidence of 59.3% over three years. Increased outdoor time of 1-2 hours (hazard ratio (HR) = 0.97; 95% confidence interval (CI) = 0.95, 0.98), 2-3 hours (HR = 0.90; 95% CI = 0.88, 0.92), and >3 hours (HR = 0.86; 95% CI = 0.84, 0.89) were associated with a reduced risk of myopia onset, whereas prolonged reading time of 1-2 hours (HR = 1.02; 95% CI = 1.01, 1.03), >2 hours (HR = 1.03; 95% CI = 1.01, 1.05), and >3 hours (HR = 1.05; 95% CI = 1.03, 1.08) were linked to an increased risk. The interaction effects on the additive scale were significant between outdoor time and reading time with RERI of -0.04 (95% CI = -0.08, 0.00), AP of -0.04 (95% CI = -0.07, 0.00), and SI of 0.71 (95% CI = 0.50, -0.93), particularly in boys, those in grades from 1 to 3, and those with myopic parents. Conclusions: Outdoor time and reading time are not only independently related to the onset of myopia but also interact with each other. These findings highlight the importance of promoting outdoor time and managing reading time to inform targeted myopia prevention strategies.",9,indirect,supports,none,,"Exposure and outcome match and HRs <1 for outdoor time, but population is primary-school-aged rather than early childhood; borderline direct.",fable,,supports,95,"Increased outdoor time reduces the risk of myopia, while prolonged reading time increases the risk. Interaction between outdoor time and reading time was significant, with outdoor time mitigating the risk associated with prolonged reading time.",agrees,cohort,complement,W4415041480
33,dha_brain,Omega-3 DHA intake in infancy supports brain and visual development,Omega-3 DHA intake in infancy supports brain and visual development,Scientific Opinion on nutrient requirements and dietary intakes of infants and young children in the European Union,"Following a request from the European Commission, the EFSA Panel on Dietetic Products, Nutrition and Allergies (NDA) was asked to deliver a Scientific Opinion on the nutrient requirements and dietary intakes of infants and young children in the European Union. This Opinion describes the dietary requirements of infants and young children, compares dietary intakes and requirements in infants and young children in Europe and, based on these findings, concludes on the potential role of young-child formulae in the diets of infants and young children, including whether they have any nutritional benefits when compared with other foods that may be included in the normal diet of infants and young children. The Panel concluded on the levels of nutrient and energy intakes that are considered adequate for the majority of infants and young children, and evaluated the risk of inadequate nutrient intakes in infants and young children in living Europe. Dietary intakes of alpha-linolenic acid (ALA), docosahexaenoic acid (DHA), iron, vitamin D and iodine (in some European countries) are low in infants and young children living in Europe, and particular attention should be paid to ensuring an appropriate supply of ALA, DHA, iron, vitamin D and iodine in infants and young children with inadequate or at risk of inadequate status of these nutrients. No unique role of young-child formulae with respect to the provision of critical nutrients in the diet of infants and young children living in Europe can be identified, so that they cannot be considered as a necessity to satisfy the nutritional requirements of young children when compared with other foods that may be included in the normal diet of young children (such as breast milk, infant formulae, follow-on formulae and cow's milk).",342,framework,does not test,endorses,"particular attention should be paid to ensuring an appropriate supply of ALA, DHA, iron, vitamin D and iodine in infants and young children with inadequate or at risk of inadequate status of these nutrients",EFSA guideline on nutrient requirements; measures nothing but defines adequate DHA intake levels for infants.,fable,,neutral,90,The paper does not conclude on the role of Omega-3 DHA intake in supporting brain and visual development in infancy,does not test it,review,neutral,W2555378582
34,free_play,Unstructured play supports cognitive and social development,Unstructured play supports cognitive and social development,Free play predicts self-regulation years later: Longitudinal evidence from a large Australian sample of toddlers and preschoolers,"Self-regulation skills are foundational to successful participation in society, and predict a suite of positive outcomes throughout life. It has long been asserted that free (i.e., unstructured) play is important for the development of self-regulation, but studies investigating play and self-regulation have faced empirical limitations. The current study used a large sample (n = 2213) from the Longitudinal Study of Australian Children to investigate time spent in unstructured quiet and active play activities at ages 2–3 and 4–5 years as a predictor of self-regulation abilities 2 years later. Children's play was reported by parents who completed a 24-hour time-use diary for 1 random weekend day and 1 weekday. Self-regulation was indexed at ages 4–5 and 6–7 by parent-, teacher- and observer-reported items comparable to similar large, longitudinal studies. Results showed that the more time children spent in unstructured quiet play in the toddler and preschool years, the better their self-regulation abilities at ages 4–5 and 6–7 years, even after controlling for earlier self-regulation abilities and other known predictors. Further, between 1 and 5 hours of preschoolers’ unstructured active play time significantly predicted self-regulation 2 years later. This study provides early support for parenting programs designed to increase opportunities for children to spend time in unstructured, free play in the early years.",82,direct,supports,none,,"Toddlers/preschoolers, unstructured play time, self-regulation (a cognitive/social outcome) years later; more play predicted better self-regulation.",fable,,supports,90,Unstructured quiet and active play time in toddler and preschool years predicts better self-regulation abilities 2 years later,agrees,cohort,supports,W4200608552
35,sleep_consolidation_6m,Most infants sleep through the night by 6 months of age,Most infants sleep through the night by 6 months of age,Sleep well—be well study: improving school transition by improving child sleep: a translational randomised trial,"INTRODUCTION: The transition to primary school appears crucial for a child's future academic and psychological well-being. Addressing conditions which negatively affect children during this period, such as poor sleep, may improve these outcomes. Sleep problems are common and in a previous efficacy randomised controlled trial, we demonstrated that sleep problems can be identified and improved using school-based screening followed by a brief behavioural intervention. This trial will determine whether the same intervention is beneficial and cost-effective when delivered by an existing school-based health workforce. METHODS/DESIGN: We will recruit 334 children with sleep problems from approximately 40 schools after screening for behavioural sleep problems in the first year of formal education (Grade Prep). Schools in Melbourne, Australia will be invited to participate from a randomly ordered list of eligible schools and we will approach all caregivers of Grade Prep children. Children who have a parent-reported moderate or severe sleep problem will be randomised into either 'usual care' or 'intervention' groups. Trained nurses from the Primary School Nursing programme will deliver the sleep intervention programme. INTERVENTION: Two to three contacts between the nurse and the parent; initial 45 min face-to-face meeting or phone call, 15 min phone call 2 weeks later and an optional second 30 min face-to-face meeting. FOLLOW-UP: 6 and 12 months postrandomisation using parent and teacher surveys and child face-to-face assessments. PRIMARY OUTCOME: child psychosocial functioning at 6 months. SECONDARY OUTCOMES: child psychosocial functioning at 12 months and child sleep, behaviour, working memory, academic achievement and parent mental health at 6 and 12 months. Cost-effectiveness analysis will compare incremental costs to difference in child psychosocial functioning at 6 months. REGISTRATION: International Standard Randomised Controlled Trial Number Register (ISRCTN92448857).",18,background,does not test,none,,Trial protocol for sleep intervention in 5-year-olds at school entry; nothing on infant sleep consolidation at 6 months.,fable,,neutral,90,The study aims to improve child sleep and school transition by delivering a sleep intervention programme through an existing school-based health workforce,does not test it,randomised trial,neutral,W2141009564
36,outdoor_time_myopia,More outdoor time in early childhood reduces the risk of myopia,More outdoor time in early childhood reduces the risk of myopia,Sleeping late is a risk factor for myopia development amongst school-aged children in China,"Myopia, a leading cause of distance vision impairment, is projected to affect half of the world's population in 30 years. We analysed the relationship between certain demographic, environmental, and behavioural factors and myopia from a 2-year school-based, prospective trial conducted in Shanghai, China. This trial enrolled 6295 school-aged children at baseline and followed them up for 24 months. The relationship between abovementioned factors and myopia was examined and the role of sleep in childhood myopia development was highlighted. Our results suggest that 'sleeping late' is a risk factor for myopia prevalence at baseline (odds ratio [OR] = 1.55, p = 0.04), 2-year myopia incidence (odds ratio [OR] = 1.44, p = 0.02) and progression over 24 months (p = 0.005), after adjusting for residency area, age, gender, sleep duration, and time spent outdoors. The identification and consistency of results with late sleepers being a susceptible group to both myopia onset and progression suggests a complex relationship between circadian rhythm, indoor environment, habitual indoor activities and myopia development and progression. These results can offer new insights to future myopia aetiology studies as well as aid in decision-making of myopia prevention strategies.",81,background,does not test,none,,"Tests sleep timing as the exposure; outdoor time is only an adjustment covariate with no reported effect, so it offers nothing on the outdoor-time claim.",fable,,refutes,90,"Sleeping late is a risk factor for myopia prevalence, incidence, and progression",disagrees,prospective trial,complement,W3092706693
37,vitamin_k_birth,Vitamin K at birth prevents haemorrhagic disease of the newborn,Vitamin K at birth prevents haemorrhagic disease of the newborn,Ecological studies of relation between hospital policies on neonatal vitamin K administration and subsequent occurrence of childhood cancer,"Abstract Objective: To investigate the possible link between neonatal administration of intramuscular vitamin K and childhood cancer. Design: Ecological studies comparing incidence of cancer in groups of children classified by the vitamin K policy in operation at their hospital of birth. Setting: Selected large maternity units in England, Scotland, and Wales. Subjects: Children born in these units in varying periods between 1966 and 1991. Main outcome measures: Cancer occurring among these children before age 15 years identified by using the National Registry of Childhood Tumours. Ratios of observed to expected numbers of these conditions calculated for hospitals where the policy was to give all babies intramuscular vitamin K (non-selective) and where the policy was to use this treatment only for a selected minority of babies at increased risk of vitamin K deficiency bleeding (selective). Results: These ratios were calculated for children born in 94 hospitals with varying vitamin K policies. A raised risk was occasionally associated with vitamin K, but the overall results were not significant, and there was no evidence to support the previously suggested doubling of the risk of childhood cancer. Conclusions: On the basis of the results reported here it is unlikely that there is a greatly increased risk of childhood cancer attributable to intramuscular vitamin K given to newborns, if indeed there is any. Key messages Intramuscular vitamin K given to babies is known to be effective in the prevention of vitamin K deficiency bleeding but it has been suggested that these preparations, or one of their constituents, may increase the risk of childhood cancer Most studies have not shown a significant association between childhood cancer and vitamin K but are unable to exclude the possibility that its use increases the risk of childhood cancer by up to 10% Intramuscular vitamin K has been given to “high risk” babies as part of all the various prophylaxis policies in the United Kingdom; this should continue As a small risk cannot at present be excluded it seems prudent to recommend a policy of giving intramuscular vitamin K only to those babies at particularly high risk and giving it orally to others It is essential that a record should be made of whether or not vitamin K is given and of the preparation, route of administration, and dose",45,indirect,neutral,endorses,Intramuscular vitamin K given to babies is known to be effective in the prevention of vitamin K deficiency bleeding,"Ambiguous: tests a neighbouring question (cancer safety of the same exposure), not HDN efficacy; the null cancer finding points neither for nor against the prevention claim.",fable,,refutes,90,No evidence to support an increased risk of childhood cancer from intramuscular vitamin K given to newborns,disagrees,ecological studies,complement,W2051036333
38,honey_avoid_12m,Honey should be avoided before 12 months because of infant botulism risk,Honey consumption before 12 months is associated with infant botulism,Potential risk of botulinum neurotoxin -producing clostridia occurrence in canned fish,"Abstract Introduction Heat treatment is indispensable in fish canning to provide an acceptable shelf life. Its optimisation reduces the risk of the presence of Clostridium botulinum spores, which could potentially cause botulism cases. This study evaluated canned fish samples for botulism neurotoxin (BoNT)-producing clostridia contamination and can bulging through microbiological contaminant growth. A new analytical approach was developed for detection of such clostridia and phenotypically similar species. Material and Methods A total of 70 canned fish samples suspected of exhibiting bulging features were analysed. Culture methods were used to detect clostridia. The isolates obtained were evaluated on the basis of the exhibited phenotypic characteristics. Also, PCRs were used for the detection of genes determining BoNT production (non-toxic non-haemagglutinin ( ntnh ) genes) and the amplification of conservative 16S rDNA genes, which were Sanger sequenced. The obtained sequences were analysed using the Basic Local Alignment Search Tool. Results Clostridium genus species were isolated from 17 (24%) bulging and organoleptically changed samples. No ntnh genes were present in these isolates; however, sequencing confirmed the presence of C. sporogenes , a species with close affinity to C. botulinum . Conclusion To eliminate the threat of foodborne botulism, laboratory diagnostic techniques must detect species of the Clostridium genus and elucidate their ability to produce BoNTs. Although Clostridium botulinum is the most common cause of botulism, the possibility may not be ignored that non-pathogenic Clostridium species may acquire botulinum toxigenicity. The similarity between the isolated strains of C. sporogenes and C. botulinum should be incorporated in the optimisation of heat treatment to guarantee a sterilised, microbiologically safe product.",7,background,does not test,none,,"Botulism topic but canned fish, not honey, and no infants; detection methods here would not be used by an infant-honey study.",fable,,refutes,90,The paper found no evidence of honey consumption before 12 months being associated with infant botulism,disagrees,case-control,refutes,W4308727009
39,egg_intro_early,Introducing egg between 4 and 6 months reduces the risk of egg allergy,Introducing egg between 4 and 6 months reduces the risk of egg allergy,Food allergy prevention: Where are we in 2023?,"Food allergy prevention involves recommendations to the maternal diet during pregnancy and breast feeding, early life feeding and introduction of solid foods. Pregnant and breastfeeding women are not recommended to exclude any food allergens from their diet, but data are lacking to support active consumption of food allergens for prevention of food allergy. Breastfeeding is recommended for the many health benefits to the mother and child but has not shown any association with reduction in childhood food allergies. There is currently no recommendation regarding the use of any infant formula for allergy prevention, including the use of partially or extensively hydrolyzed formulas. Once the introduction of solid food commences, based on randomized controlled trials, it is advised to actively introduce peanuts and egg early into the infant diet and continue with consumption of these. Although there are limited data with respect to other major food allergens and whether early introduction may prevent allergy development, there is no need to delay the introduction of these allergens into the infant diet. Interpreting food allergen consumption in the context of cultural food practices has not been studied, but it makes sense to introduce the infant to family foods by 1 year of age. Consumption of foods typical of the Western diet and foods high in advanced glycation end products may be associated with an increase in food allergies. Similarly, intake of micronutrients, such as vitamin D and omega-3 fatty acids in both the maternal and infant diet, needs further clarification in the context of food allergy prevention.",20,framework,does not test,endorses,"based on randomized controlled trials, it is advised to actively introduce peanuts and egg early into the infant diet and continue with consumption of these","Ambiguous: narrative review with no new data or meta-analysis; supplies the guideline to introduce egg early, so framework rather than a test of the claim.",fable,,refutes,90,"Active consumption of food allergens during pregnancy and breastfeeding does not prevent food allergy, but early introduction of peanuts and egg into the infant diet is advised",disagrees,review,refutes,W4382632136
40,self_settling,Infants who can self-settle at bedtime wake less during the night,Infants who can self-settle at bedtime wake less during the night,Video Analysis of Parent–Child Interactions in Behavioral Sleep Disorders: Development of a Scoring Algorithm,"Introduction: Behavioural sleep disorders, including chronic insomnia (CI), are generally assessed by subjective parent interview. However, evidence suggests that parental report of children’s overnight behaviours is unreliable, perhaps due to recall bias or confusion due to sleep deprivation. Video technology has been used clinically to capture complex behavioural disorders in children during the day. However, there is no standardised means of analysing child and parent behaviour at bedtime or during the night. We aimed to create an algorithm for this purpose. Methods: Child brain tumour survivors (a population previously shown to have a high prevalence of CI) were screened for difficulties initiating and maintaining sleep using sub-scales from the Sleep Disturbance Scale for Children. Those who screened positive (n=3) then completed a detailed parent interview to confirm a clinical diagnosis of CI. One night of home video footage was obtained from initial settling period to morning waking (SOMNOmedics camera). Footage was imported into BORIS© software and a coding system for parent and child behaviour was developed over multiple iterations until agreeable inter-rater reliability (>70%) was achieved between two independent coders. Results: The final coding categories were: 1) Time domains, 2) Physical environment, 3) Child global status, 4) Location, 5) Activity and 6) Physical interaction. This achieved 74% inter-reliability in its last iteration. Discussion: A statistically acceptable behaviour scoring algorithm was achieved. With further development, this tool could be applied clinically to investigate behavioural insomnia and in research to provide more objective outcome measurement.",5,framework,does not test,none,,Develops a video-coding measure of bedtime parent-child behaviour that a self-settling study would cite in Methods.,fable,,neutral,95,The paper does not provide findings related to self-settling infants waking less during the night,does not test it,other,neutral,W2990378469
41,back_to_sleep,Placing infants on their back to sleep reduces the risk of SIDS,Placing infants on their back to sleep reduces the risk of SIDS,Critical diaphragm failure in sudden infant death syndrome,"Sudden infant death syndrome (SIDS) is the leading cause of death in infants between the ages of 1 and 12 months in developed countries. SIDS is by definition a diagnosis of exclusion, and its mechanism of action is unknown. The SIDS-Critical Diaphragm Failure (CDF) hypothesis postulates that the cause of death in SIDS is respiratory failure caused by CDF. Four principal risk factors contribute to CDF in young infants: undeveloped respiratory muscles, non-lethal infections, prone resting position, and REM sleep. Even relatively minor infections can cause an acute and significant reduction in diaphragm force generation capacity that in conjunction with other risk factors can precipitate CDF. CDF-induced acute muscle weakness leaves few, if any pathological marks on the affected tissue.Understanding the underlying mechanism of SIDS may help in formulating new approaches to child care that can help to further reduce the incidence of SIDS.",37,framework,does not test,endorses,"Four principal risk factors contribute to CDF in young infants: undeveloped respiratory muscles, non-lethal infections, prone resting position, and REM sleep.","SIDS mechanism paper, but the diaphragm-failure hypothesis explicitly includes prone position, so it serves the claim's exposure-outcome pathway (mechanism).",fable,,refutes,90,Prone resting position is a risk factor for Critical Diaphragm Failure (CDF) in SIDS,disagrees,review,complement,W2137657450
42,nap_memory,Daytime naps support memory consolidation and learning in infants,Daytime naps support memory consolidation and learning in infants,Sleep and Memory in Children,"Abstract Purpose of Review This short review article aims at emphasizing interesting and important new insights about investigating sleep and memory in children aged between 6 and 13 years (middle childhood). Recent Findings That sleep in comparison to wakefulness benefits the consolidation of memories is well established—especially for the adult population. However, the underlying theoretical frameworks trying to explain the benefits of sleep for memory still strive for more substantiate findings including biological and physiological correlates. Summary Based on the most recent literature about sleep-related memory consolidation and its physiological markers during middle childhood, this article provides a review and highlights recent updates in this field.",9,framework,does not test,none,,"Ambiguous between indirect and framework: review in 6-13-year-olds, measures nothing itself; supplies the mechanism (sleep-dependent memory consolidation frameworks) infant nap studies build on.",fable,,neutral,80,"The paper discusses the benefits of sleep for memory consolidation in adults, but does not specifically focus on daytime naps or infants",does not test it,review,neutral,W3109007492
43,reading_language,Reading aloud to infants improves later language development,Reading aloud to infants improves later language development,Examining Shared Reading and White Matter Organization in Kindergarten in Relation to Subsequent Language and Reading Abilities: A Longitudinal Investigation,"Parent-child language interaction in early childhood carries long-term implications for children's language and reading development. Conversational interaction, in particular, has been linked to white matter organization of neural pathways critical for language and reading. However, shared book reading serves an important role for language interaction as it exposes children to sophisticated vocabulary and syntax. Despite this, it remains unclear whether shared reading also relates to white matter characteristics subserving language and reading development. If so, to what extent do these environmentally associated changes in white matter organization relate to subsequent reading outcomes? This longitudinal study examined shared reading and white matter organization in kindergarten in relation to subsequent language and reading outcomes among 77 typically developing children. Findings reveal positive associations between the number of hours children are read to weekly (shared reading time) and the fractional anisotropy of the left arcuate fasciculus, as well as left lateralization of the superior longitudinal fasciculus (SLF). Furthermore, left lateralization of the SLF in these kindergarteners is associated with subsequent reading abilities in second grade. Mediation analyses reveal that left lateralization of the SLF fully mediates the relationship between shared reading time and second-grade reading abilities. Results are significant when controlling for age and socioeconomic status. This is the first evidence demonstrating how white matter structure, in relation to shared reading in kindergarten, is associated with school-age reading outcomes. Results illuminate shared reading as a key proxy for the home language and literacy environment and further our understanding of how language interaction may support neurocognitive development.",16,indirect,supports,endorses,shared book reading serves an important role for language interaction as it exposes children to sophisticated vocabulary and syntax,"Shared reading time predicts later reading ability (mediated by white matter), but in kindergarteners rather than infants.",fable,,supports,85,"Shared reading time in kindergarten is associated with increased fractional anisotropy of the left arcuate fasciculus and left lateralization of the superior longitudinal fasciculus, which in turn are associated with better reading abilities in second grade",agrees,longitudinal,supports,W4309162411
44,sleep_training_harm,Behavioural sleep training causes lasting harm to infant attachment or stress regulation,Behavioural sleep training causes lasting harm to infant attachment or stress regulation,Early Life Exposure to Violence: Developmental Consequences on Brain and Behavior,"Exposure to intimate partner violence (IPV) can have long-lasting effects on a child's socio-emotional and neurological development. Research has focused on the effects of IPV on women or older children, while the developmental consequences of exposure to domestic violence during early childhood are less well documented. However, one would expect significant developmental effects since the infant's brain and stress-related systems are especially susceptible to environmental stimuli. The goal of this mini-review is to examine how findings on infant exposure to IPV can be related to risk and resilience of development in infancy. We describe the known effects of witnessing violence during the perinatal period on socio-emotional development and the possible pathways by which IPV affects brain and stress-regulating systems. Exposure to IPV during infancy disrupts the infant's emotional and cognitive development, the development of the Hypothalamus-Pituitary-Adrenal (HPA) axis and brain structures related to witnessing itself (auditory and visual cortex). The findings are embedded in the context of the resource depletion hypothesis. A central problem is the dearth of research on exposure to IPV during infancy, its effect on caregiving, and infant development. Nonetheless, the available evidence makes it clear that policies for prevention of IPV are critically needed.",164,background,does not test,none,,"Mechanism for stress-system disruption from violence exposure, bypassing the claim's exposure (sleep training) entirely; mechanism-of-outcome-in-general case.",fable,,supports,80,"Exposure to intimate partner violence during infancy disrupts emotional and cognitive development, HPA axis, and brain structures related to witnessing violence",agrees,review,supports,W2960244174
45,conversational_turns,Conversational turn-taking predicts language outcomes better than word count alone,Conversational turn-taking predicts language outcomes better than word count alone,Language Exposure and Brain Myelination in Early Development,"The language environment to which children are exposed has an impact on later language abilities as well as on brain development; however, it is unclear how early such impacts emerge. This study investigates the effects of children's early language environment and socioeconomic status (SES) on brain structure in infancy at 6 and 30 months of age (both sexes included). We used magnetic resonance imaging to quantify concentrations of myelin in specific fiber tracts in the brain. Our central question was whether Language Environment Analysis (LENA) measures from in-home recording devices and SES measures of maternal education predicted myelin concentrations over the course of development. Results indicate that 30-month-old children exposed to larger amounts of in-home adult input showed more myelination in the white matter tracts most associated with language. Right hemisphere regions also show an association with SES, with older children from more highly educated mothers and exposed to more adult input, showing greater myelin concentrations in language-related areas. We discuss these results in relation to the current literature and implications for future research. SIGNIFICANCE STATEMENT This is the first study to look at how brain myelination is impacted by language input and socioeconomic status early in development. We find robust relationships of both factors in language-related brain areas at 30 months of age.",34,indirect,neutral,none,,"Ambiguous: tests adult-input quantity against brain myelination but never compares turns vs word count, so no direction on the comparative claim.",fable,,supports,80,Exposure to larger amounts of in-home adult input at 30 months of age was associated with more myelination in language-related brain areas,agrees,cohort,supports,W4376603878
47,peanut_intro_early,Introducing peanut before 6 months of age reduces the risk of peanut allergy,Introducing peanut before 6 months of age reduces the risk of peanut allergy,Food Allergy: Recent Advances in Pathophysiology and Treatment,"Food allergies are adverse immune reactions to food proteins that affect up to 6% of children and 3-4% of adults. A wide range of symptoms can occur depending on whether IgE or non-IgE mediated mechanism are involved. Many factors influence the development of oral tolerance, including route of exposure, genetics, age of the host, and allergen factors. Advances have been made in the understanding of how these factors interact in the pathophysiology of food allergy. Currently, the mainstay of treatment for food allergies is avoidance and ready access to emergency medications. However, with the improved understanding of tolerance and advances in characterization of food allergens, several therapeutic strategies have been developed and are currently being investigated as potential treatments and/or cures for food allergy.",74,framework,does not test,none,,"Borderline framework/background: broad review mostly about treatment, but it supplies the mechanism for this claim's pathway (oral tolerance development shaped by route and age of allergen exposure).",fable,,neutral,90,This paper does not discuss the introduction of peanut before 6 months of age and its effect on reducing peanut allergy,does not test it,review,neutral,W2139306504
48,nap_memory,Daytime naps support memory consolidation and learning in infants,Daytime naps support memory consolidation and learning in infants,Many faces of sleep regulation: beyond the time of day and prior wake time,"The two-process model of sleep regulation posits two main processes regulating sleep: the circadian process controlled by the circadian clock and the homeostatic process that depends on the history of sleep and wakefulness. The model has provided a dominant conceptual framework for sleep research since its publication ~ 40 years ago. The time of day and prior wake time are the primary factors affecting the circadian and homeostatic processes, respectively. However, it is critical to consider other factors influencing sleep. Since sleep is incompatible with other behaviors, it is affected by the need for essential behaviors such as eating, foraging, mating, caring for offspring, and avoiding predators. Sleep is also affected by sensory inputs, sickness, increased need for memory consolidation after learning, and other factors. Here, we review multiple factors influencing sleep and discuss recent insights into the mechanisms balancing competing needs.",23,background,does not test,none,,"Review of sleep-regulation mechanisms; mentions memory consolidation only as a factor influencing sleep (reverse direction), gives no tool for testing naps-to-memory in infants.",fable,,supports,80,Sleep is affected by increased need for memory consolidation after learning,agrees,review,supports,W4200277248
