claim_key,topic,group,claim,tested_as,needs_tested_as,claim_type,draft_sign,sign_verb,draft_exposure,draft_outcome,age_range,cost_to_follow,if_wrong,stakes_rationale,stakes_uncertain,guidance_agreement,guidance_note,nhs_says,nhs_url,aap_says,aap_url,Tom input
restrictive_devices,motor,Equipment,Prolonged time in walkers or containers delays motor development,,,association,-1,delays,prolonged time in walkers or containers,motor development,0-18 months,free,trivial,Limiting prolonged container time costs little; the harm is a transient motor delay that catches up.,,agree,,"Heavy use of walkers or bouncers can delay walking, and long periods in carriers or propped seats can delay sitting up. Cap use at 20 minutes.",https://www.nhs.uk/baby/babys-development/play-and-learning/keep-baby-or-toddler-active/,Walkers do not help a baby learn to walk and can actually delay when walking starts.,https://www.healthychildren.org/English/safety-prevention/at-home/Pages/baby-walkers-a-dangerous-choice.aspx,
tummy_time_motor,motor,Tummy time & positioning,Tummy time supports gross motor development,,,association,1,supports,tummy time,gross motor development,0-6 months,mild,trivial,Scheduling tummy time with a protesting baby is effort; motor milestones converge regardless within normal ranges.,,agree,,Tummy time builds the muscles a baby needs for sitting and crawling.,https://www.nhs.uk/baby/babys-development/play-and-learning/keep-baby-or-toddler-active/,Supervised tummy time while awake is what a baby needs to build strong muscles and prepare for crawling.,https://www.healthychildren.org/English/ages-stages/baby/sleep/Pages/back-to-sleep-tummy-to-play.aspx,
tummy_time_plagiocephaly,motor,Tummy time & positioning,Tummy time reduces positional plagiocephaly,,,association,-1,reduces,tummy time,positional plagiocephaly,0-6 months,mild,meaningful,"Same scheduling effort as tummy time; skipping it risks flat-head severe enough for distressing, expensive helmet therapy.",,agree,,Plenty of supervised awake tummy time is listed as a way to prevent flat head syndrome or stop it getting worse.,https://www.nhs.uk/conditions/plagiocephaly-brachycephaly/,"Too little tummy time is named as a cause of flat head, and increasing tummy time is the recommended prevention.",https://www.healthychildren.org/English/health-issues/conditions/Cleft-Craniofacial/Pages/Positional-Skull-Deformities-and-Torticollis.aspx,
dha_brain,nutrients,From the diet,Omega-3 DHA intake in infancy supports brain and visual development,,,association,1,supports,omega-3 DHA intake in infancy,brain and visual development,0-24 months,mild,trivial,Fish or supplements cost something; trial effects on cognition and vision are small and inconsistent.,,one_only,,,,"DHA and ARA, added to most formulas, are believed to matter for a baby's brain and eye development.",https://www.healthychildren.org/English/ages-stages/baby/formula-feeding/Pages/choosing-an-infant-formula.aspx,
iron_rich_6m,nutrients,From the diet,Iron-rich complementary foods are needed from 6 months,Iron-rich complementary foods from 6 months lead to better health outcomes,,association,1,(from registry),iron-rich complementary foods from 6 months,better health outcomes,6-12 months,mild,meaningful,Iron-rich foods take planning and money; iron deficiency affects development but is detectable and treatable.,,agree,,"Once solids start at around 6 months, include iron-containing foods such as meat, fish, fortified cereals, beans and greens.",https://www.nhs.uk/baby/weaning-and-feeding/babys-first-solid-foods/,Iron-rich foods from about 6 months supply the extra iron babies need for growth.,https://www.healthychildren.org/English/health-issues/conditions/chronic/Pages/Anemia-and-Your-Child.aspx,lets do tested as iron rich complementary foods lead to better health outcomes so its +1 and leads to 
vit_d_supplement,nutrients,Supplements,Breastfed infants require vitamin D supplementation,Vitamin D supplementation in breastfed infants reduces vitamin D deficiency and rickets,,association,-1,reduces,vitamin D supplementation in breastfed infants,vitamin D deficiency and rickets,0-12 months,mild,meaningful,"Drops are cheap but need a daily habit; missed supplementation risks rickets, which is treatable when caught.",,agree,,Give breastfed babies a daily vitamin D supplement of 8.5 to 10 micrograms from birth to age 1. Formula-fed babies on 500ml a day do not need one.,https://www.nhs.uk/baby/weaning-and-feeding/vitamins-for-children/,"Give breastfed and partly breastfed babies 400 IU of vitamin D a day, starting in the first few days of life.",https://www.healthychildren.org/English/healthy-living/nutrition/Pages/vitamin-d-on-the-double.aspx,
early_academics,play,Care & schooling,Early formal academic instruction improves later school achievement,,,association,1,improves,early formal academic instruction,later school achievement,36-72 months,mild,trivial,Formal instruction costs money and toddler goodwill; achievement advantages fade out within a few school years.,,neither,,,,,,
fewer_toys,play,Toys & music,Fewer toys in the environment leads to better learning retention and motor skill development,,,association,1,(from registry),fewer toys in the play environment,learning retention and motor skill development,12-36 months,free,trivial,Buying fewer toys saves money; play-quality differences are subtle and short-term.,,neither,,,,,,its an association already so its +1. perhaps we can define a better outcome like instead of higher quality play its better retention of knowledge or better motor skills development 
free_play,play,Play,Unstructured play supports cognitive and social development,,,association,1,supports,unstructured play,cognitive and social development,6-36 months,free,trivial,"Unstructured play is the cheapest activity there is; children find play regardless, so marginal deprivation effects are small.",,agree,,"Playtime activities matter for a toddler's development; the NHS lists language, cognitive growth, motor skills and social interaction among what play helps.",https://www.nhs.uk/best-start-in-life/toddler/activities-for-toddlers/,"Play helps children learn language, maths and social skills; AAP urges families and schools to protect unstructured play.",https://www.healthychildren.org/English/news/Pages/healthier-children-play-according-to-the-AAP.aspx,
music_exposure,play,Toys & music,Musical activity in infancy supports language and auditory development,,,association,1,supports,musical activity in infancy,language and auditory development,0-36 months,free,trivial,Singing to a baby is free; auditory-development advantages are small laboratory effects.,,agree,,Singing to your baby helps them tune in to the rhythm of language.,https://www.nhs.uk/baby/babys-development/play-and-learning/help-your-baby-learn-to-talk/,Music early in infancy helps babies learn the sounds and meanings of words and supports language and literacy.,https://www.aap.org/en/patient-care/media-and-children/center-of-excellence-on-social-media-and-youth-mental-health/qa-portal/qa-portal-library/qa-portal-library-questions/infants-and-music-media/,
pretend_play,play,Play,Pretend play supports social cognition and theory of mind,,,association,1,supports,pretend play,social cognition and theory of mind,18-60 months,free,trivial,Pretend play emerges by itself; theory-of-mind effects are correlational and small.,,one_only,,,,"Playing different characters teaches children other people's mindsets, motivations and perspectives, and builds social and emotional skills.",https://www.healthychildren.org/English/family-life/power-of-play/Pages/pretend-play-ways-children-can-exercise-their-imagination.aspx,
educational_apps,screen_effects,Language & learning,Educational apps improve learning outcomes in toddlers,,,association,1,improve,educational apps,learning outcomes in toddlers,18-48 months,mild,trivial,Apps cost money and screen-time trade-offs; skipping them forgoes learning gains that barely replicate.,,one_only,,,,"App skills do not transfer to real-world learning for toddlers, though after age 2 some children do learn from well-designed educational programmes.",https://www.healthychildren.org/English/family-life/Media/Pages/Why-to-Avoid-TV-Before-Age-2.aspx,
screen_attention,screen_effects,Attention,Early screen exposure is associated with later attention problems,,,association,1,associated with later,early screen exposure,later attention problems,0-36 months,mild,meaningful,Limiting early screens takes ongoing willpower; attention problems are a real but manageable harm.,,agree,,"Fast-paced, over-stimulating video may affect how young children learn to concentrate, so avoid it. NHS frames this by content type, not total exposure.",https://beststartinlife.gov.uk/screen-time-under-5s/,Toddlers who watch more TV are more likely to have trouble paying attention by age 7.,https://www.healthychildren.org/English/family-life/Media/Pages/Why-to-Avoid-TV-Before-Age-2.aspx,
screen_feeding,screen_effects,Sleep & body,Screen use during meals is associated with poorer eating behaviour,,,association,1,associated with poorer,screen use during meals,poorer eating behaviour,6-60 months,free,meaningful,No screens at the table costs nothing but habit; distracted eating undermines responsive feeding and satiety cues.,,agree,,"Keep mealtimes screen-free. NHS gives the reason as protecting family time and interaction, not eating behaviour specifically.",https://beststartinlife.gov.uk/screen-time-under-5s/,"Eating in front of a screen distracts children so they keep eating past fullness, which can lead to weight gain.",https://www.healthychildren.org/English/family-life/Media/Pages/Food-and-TV-Not-a-Healthy-Mix.aspx,
screen_language_delay,screen_effects,Language & learning,Higher screen time in infancy is associated with language delay,,,association,1,delay,higher screen time in infancy,language delay,0-36 months,mild,meaningful,Cutting screen time removes a convenient pacifier for busy days; language delay is real but responds to intervention.,,agree,,"A lot of screen time is linked to poorer development, including language.",https://beststartinlife.gov.uk/screen-time-under-5s/,"Screen viewing before 18 months has lasting negative effects on language, reading and short-term memory.",https://www.healthychildren.org/English/family-life/Media/Pages/Why-to-Avoid-TV-Before-Age-2.aspx,
screen_obesity,screen_effects,Sleep & body,Higher screen time is associated with higher BMI in early childhood,,,association,1,associated with higher,higher screen time,higher BMI in early childhood,12-60 months,mild,trivial,Screen limits take sustained enforcement; the BMI association is small against an outcome dominated by diet and genetics.,,agree,,"A lot of screen time is linked to effects on healthy weight, among other health and development outcomes.",https://beststartinlife.gov.uk/screen-time-under-5s/,Watching a lot of TV is associated with overweight and obesity in children.,https://www.healthychildren.org/English/family-life/Media/Pages/Food-and-TV-Not-a-Healthy-Mix.aspx,
screen_sleep,screen_effects,Sleep & body,Higher screen time is associated with shorter sleep in young children,,,association,1,associated with,higher screen time,shorter sleep in young children,0-60 months,mild,meaningful,"Enforcing screen limits is a daily negotiation; the harm side is shorter sleep, which affects everything else.",,agree,,"A lot of screen time is linked to poorer sleep, among other effects on health and development.",https://beststartinlife.gov.uk/screen-time-under-5s/,Children with a lot of media exposure fall asleep later and sleep less; even babies can be overstimulated and lose sleep.,https://www.healthychildren.org/English/family-life/Media/Pages/adverse-effects-of-television-commercials.aspx,
video_deficit,screen_effects,Language & learning,Infants learn less from video than from equivalent live interaction,,,comparative,-1,(from registry),video presentation (vs live interaction),infant learning,6-36 months,free,trivial,"Preferring live interaction costs nothing; the foregone difference is a learning-efficiency gap, not a lasting deficit.",,agree,,"Young children learn best from back-and-forth interaction with people, not from a screen.",https://beststartinlife.gov.uk/screen-time-under-5s/,"For the same amount of time, a toddler learns far more from real play with you than from watching a screen.",https://www.healthychildren.org/English/family-life/Media/Pages/Why-to-Avoid-TV-Before-Age-2.aspx,this is a good claim and I think I want to keep it this way 
background_tv,screen_time,How screens are used,Background television reduces the quantity and quality of parent-child interaction,,,association,-1,reduces,background television,quantity and quality of parent-child interaction,0-36 months,free,meaningful,Switching the TV off costs nothing; background TV measurably suppresses the parent-child talk that drives language.,,agree,,Keep screens off in the background. They pull attention away from social interaction and play with your child.,https://beststartinlife.gov.uk/screen-time-under-5s/,A TV on in the background cuts how much a parent talks to a toddler by hundreds of words an hour and delays language.,https://www.healthychildren.org/English/family-life/Media/Pages/Why-to-Avoid-TV-Before-Age-2.aspx,
coviewing_benefit,screen_time,How screens are used,Adult co-viewing reduces the negative effects of screen time,,,association,-1,reduces,adult co-viewing,negative effects of screen time,12-36 months,mild,trivial,Co-viewing demands parent time precisely when screens are used to buy time; the moderating benefit is small.,,agree,,Watch and talk about content with your child rather than leaving them alone with a screen. It supports development.,https://beststartinlife.gov.uk/screen-time-under-5s/,Children get more out of TV or apps when a parent is watching and using it alongside them.,https://www.healthychildren.org/English/family-life/Media/Pages/Why-to-Avoid-TV-Before-Age-2.aspx,
no_screens_under_2,screen_time,Guidelines,Screen media should be avoided before 18-24 months,Screen media exposure before 18-24 months is associated with worse developmental outcomes,,association,1,associated with worse,screen media exposure before 18-24 months,worse developmental outcomes,0-24 months,hard,meaningful,"Total screen avoidance removes a stretched parent's only break; the harms are language and developmental delays, real but recoverable.",,agree,,"Avoid screens for babies and toddlers. If you do use one, watch together and talk about it so it becomes a shared, interactive activity.",https://www.nhs.uk/best-start-in-life/baby/learning-to-talk/listening-and-learning-6-to-12-months/,"Avoid TV and apps before 18 months, apart from video chat with family. Babies learn from real interaction, not from screens.",https://www.healthychildren.org/English/family-life/Media/Pages/Why-to-Avoid-TV-Before-Age-2.aspx,
video_chat_exception,screen_time,How screens are used,Video chatting is an acceptable exception to infant screen-time limits,Video chatting with a live partner is associated with better outcomes than pre-recorded screen content in infancy,,comparative,1,associated with better,video chatting with live partner (vs pre-recorded content),better developmental outcomes,6-24 months,free,trivial,"Allowing video calls is a permission, not an effort; banning them merely forgoes some family connection.",,agree,,"Under 2s should avoid screens except for shared family activities, and video calling relatives is given as an acceptable example.",https://beststartinlife.gov.uk/screen-time-under-5s/,Video chatting with a relative is fine. Sit with your child and keep everyone talking to each other.,https://www.healthychildren.org/English/family-life/Media/Pages/Food-and-TV-Not-a-Healthy-Mix.aspx,
bedtime_routine,settling,Routines & environment,A consistent bedtime routine improves infant sleep,,,association,1,improves,consistent bedtime routine,infant sleep,0-36 months,mild,meaningful,A consistent routine takes discipline every evening; the cost of skipping it is measurably poorer sleep for everyone.,,agree,,"A simple, soothing bedtime routine may help your baby settle, and gives you one-to-one time together.",https://www.nhs.uk/baby/caring-for-a-newborn/helping-your-baby-to-sleep/,"Start a bedtime routine early with young children, such as brush teeth, read a book, then bed.",https://www.healthychildren.org/English/healthy-living/sleep/Pages/healthy-sleep-habits-how-many-hours-does-your-child-need.aspx,
screen_before_bed_sleep,settling,Routines & environment,Screen exposure before bedtime worsens infant sleep,,,association,-1,worsens,screen exposure before bedtime,infant sleep,6-36 months,free,meaningful,"Moving screens away from bedtime costs nothing; the harm side is poorer sleep, which compounds for the whole household.",,agree,,"Avoid screens in the hour before bed, as screen use before bedtime could affect a young child's sleep.",https://beststartinlife.gov.uk/screen-time-under-5s/,Turn all screens off at least an hour before bedtime and keep them out of bedrooms to prevent sleep disruption.,https://www.healthychildren.org/English/healthy-living/sleep/Pages/healthy-sleep-habits-how-many-hours-does-your-child-need.aspx,
self_settling,settling,Sleep training,Teaching infants to self-settle leads to less waking at night,,,association,-1,(from registry),teaching infants to self-settle,night waking,3-18 months,mild,meaningful,Teaching self-settling overlaps with sleep training in effort; the foregone benefit is fewer night wakings.,,one_only,,,,Put your baby down drowsy but awake; babies rocked to sleep may struggle to resettle themselves after night wakings.,https://www.healthychildren.org/English/ages-stages/baby/sleep/Pages/getting-your-baby-to-sleep.aspx,This is not really testable. Teaching infants to self settle leas to less waking at night . Association -1 leads to
nap_memory,sleep_patterns,Naps,Daytime naps support memory consolidation and learning in infants,,,association,1,support,daytime naps,memory consolidation and learning,6-24 months,free,trivial,"Babies nap anyway; the missed memory-consolidation benefits are laboratory-scale, not milestones.",,neither,,,,,,
short_sleep_obesity,sleep_patterns,Consequences,Short sleep duration in infancy is associated with later obesity,,,association,1,associated with later,short sleep duration in infancy,later obesity,0-24 months,mild,trivial,Protecting sleep takes routine effort; the obesity link is one small influence on an outcome with many larger causes.,,neither,,,,,,
baby_led_weaning,solids,Method,Baby-led weaning supports healthy appetite self-regulation,,,association,1,supports,baby-led weaning,healthy appetite self-regulation,6-12 months,free,trivial,"A feeding style, not an expense; appetite self-regulation differences are small on an outcome that varies widely anyway.",,one_only,,,,"Listed as a possible benefit of baby-led weaning: babies stop when full, which may help prevent obesity.",https://www.healthychildren.org/English/ages-stages/baby/feeding-nutrition/Pages/baby-led-weaning-is-it-safe.aspx,
repeated_exposure_veg,solids,Textures & tastes,Repeated exposure increases an infant's acceptance of vegetables,,,association,1,increases,repeated exposure to vegetables,acceptance of vegetables,6-24 months,mild,trivial,Repeatedly offering rejected vegetables wastes food and patience; the downside is only pickier eating within normal variation.,,agree,,"Babies often need 10 or more tries of a new food, so keep offering it.",https://www.nhs.uk/baby/weaning-and-feeding/help-your-baby-enjoy-new-foods/,A baby may need 10 to 15 tries of a new food over several months before accepting it.,https://www.healthychildren.org/English/healthy-living/growing-healthy/Pages/baby-food-and-feeding.aspx,
texture_window,solids,Textures & tastes,Delaying lumpy textures beyond 9 months increases later feeding difficulties,,,association,1,increases,delaying lumpy textures beyond 9 months,later feeding difficulties,6-12 months,free,meaningful,Offering lumps by 9 months costs nothing; missing the window means feeding difficulties that are real but treatable.,,neither,,,,,,
weaning_6m,solids,Timing,Complementary feeding should begin at around 6 months of age,Introducing complementary foods at around 6 months is associated with better outcomes than introducing them earlier or later,,comparative,1,associated with better,introducing complementary foods around 6 months (vs earlier/later),better outcomes,6 months,free,meaningful,"Timing solids near 6 months costs nothing; late starts risk iron deficiency, early starts carry modest infection risk.",,agree,,"Start solid foods when your baby is around 6 months old. Before that, breast milk or first infant formula gives them everything they need.",https://www.nhs.uk/baby/weaning-and-feeding/babys-first-solid-foods/,"Give only breast milk for about the first 6 months, then start solid foods once your baby shows they are developmentally ready.",https://www.healthychildren.org/English/ages-stages/baby/feeding-nutrition/Pages/starting-solid-foods.aspx,
